game_id,visiting_team,batter,pitcher,catcher
MIA202008052,BAL,albeh001,smitj004,lavar001
MIA202008052,BAL,santa003,smitj004,lavar001
MIA202008052,BAL,iglej001,smitj004,lavar001
MIA202008052,BAL,villj001,wojca001,sevep001
MIA202008052,BAL,bertj001,wojca001,sevep001
MIA202008052,BAL,dickc002,wojca001,sevep001
MIA202008052,BAL,aguij001,wojca001,sevep001
MIA202008052,BAL,andeb006,wojca001,sevep001
MIA202008052,BAL,joycm001,wojca001,sevep001
MIA202008052,BAL,nuner001,smitj004,lavar001
MIA202008052,BAL,sevep001,smitj004,lavar001
MIA202008052,BAL,stewd002,smitj004,lavar001
MIA202008052,BAL,valap001,smitj004,lavar001
MIA202008052,BAL,velaa001,smitj004,lavar001
MIA202008052,BAL,lavar001,wojca001,sevep001
MIA202008052,BAL,alvae001,wojca001,sevep001
MIA202008052,BAL,sierm002,wojca001,sevep001
MIA202008052,BAL,mullc002,shars001,lavar001
MIA202008052,BAL,albeh001,shars001,lavar001
MIA202008052,BAL,santa003,shars001,lavar001
MIA202008052,BAL,villj001,wojca001,sevep001
MIA202008052,BAL,bertj001,wojca001,sevep001
MIA202008052,BAL,dickc002,wojca001,sevep001
MIA202008052,BAL,iglej001,shars001,lavar001
MIA202008052,BAL,nuner001,shars001,lavar001
MIA202008052,BAL,sevep001,shars001,lavar001
MIA202008052,BAL,haysa001,morab001,lavar001
MIA202008052,BAL,aguij001,wojca001,sevep001
MIA202008052,BAL,andeb006,wojca001,sevep001
MIA202008052,BAL,joycm001,wojca001,sevep001
MIA202008052,BAL,valap001,morab001,lavar001
MIA202008052,BAL,velaa001,morab001,lavar001
MIA202008052,BAL,mullc002,morab001,lavar001
MIA202008052,BAL,albeh001,shafj001,lavar001
MIA202008052,BAL,lavar001,wojca001,sevep001
MIA202008052,BAL,alvae001,wojca001,sevep001
MIA202008052,BAL,sierm002,wojca001,sevep001
MIA202008052,BAL,villj001,wojca001,sevep001
MIA202008052,BAL,bertj001,wojca001,sevep001
MIA202008052,BAL,bertj001,wojca001,sevep001
MIA202008052,BAL,santa003,shafj001,lavar001
MIA202008052,BAL,iglej001,shafj001,lavar001
MIA202008052,BAL,nuner001,shafj001,lavar001
MIA202008052,BAL,sevep001,shafj001,lavar001
MIA202008052,BAL,haysa001,tarps001,lavar001
MIA202008052,BAL,valap001,tarps001,lavar001
MIA202008052,BAL,dickc002,scott003,sevep001
MIA202008052,BAL,aguij001,scott003,sevep001
MIA202008052,BAL,andeb006,scott003,sevep001
MIA202008052,BAL,velaa001,tarps001,lavar001
MIA202008052,BAL,holab001,tarps001,lavar001
MIA202008052,BAL,albeh001,tarps001,lavar001
MIA202008060,BAL,albeh001,yamaj001,cervf001
MIA202008060,BAL,santa003,yamaj001,cervf001
MIA202008060,BAL,iglej001,yamaj001,cervf001
MIA202008060,BAL,smitd007,yamaj001,cervf001
MIA202008060,BAL,villj001,leblw001,siscc001
MIA202008060,BAL,bertj001,leblw001,siscc001
MIA202008060,BAL,cervf001,leblw001,siscc001
MIA202008060,BAL,aguij001,leblw001,siscc001
MIA202008060,BAL,nuner001,yamaj001,cervf001
MIA202008060,BAL,siscc001,yamaj001,cervf001
MIA202008060,BAL,haysa001,yamaj001,cervf001
MIA202008060,BAL,davic003,yamaj001,cervf001
MIA202008060,BAL,valap001,yamaj001,cervf001
MIA202008060,BAL,andeb006,leblw001,siscc001
MIA202008060,BAL,brinl001,leblw001,siscc001
MIA202008060,BAL,forsl001,leblw001,siscc001
MIA202008060,BAL,sierm002,leblw001,siscc001
MIA202008060,BAL,harrm003,leblw001,siscc001
MIA202008060,BAL,albeh001,yamaj001,cervf001
MIA202008060,BAL,santa003,yamaj001,cervf001
MIA202008060,BAL,iglej001,yamaj001,cervf001
MIA202008060,BAL,smitd007,yamaj001,cervf001
MIA202008060,BAL,nuner001,yamaj001,cervf001
MIA202008060,BAL,villj001,leblw001,siscc001
MIA202008060,BAL,bertj001,leblw001,siscc001
MIA202008060,BAL,cervf001,leblw001,siscc001
MIA202008060,BAL,aguij001,leblw001,siscc001
MIA202008060,BAL,andeb006,leblw001,siscc001
MIA202008060,BAL,brinl001,leblw001,siscc001
MIA202008060,BAL,siscc001,yamaj001,cervf001
MIA202008060,BAL,haysa001,yamaj001,cervf001
MIA202008060,BAL,davic003,yamaj001,cervf001
MIA202008060,BAL,valap001,yamaj001,cervf001
MIA202008060,BAL,forsl001,leblw001,siscc001
MIA202008060,BAL,sierm002,leblw001,siscc001
MIA202008060,BAL,harrm003,leblw001,siscc001
MIA202008060,BAL,villj001,leblw001,siscc001
MIA202008060,BAL,bertj001,leblw001,siscc001
MIA202008060,BAL,bertj001,armss001,siscc001
MIA202008060,BAL,cervf001,armss001,siscc001
MIA202008060,BAL,albeh001,guzmj006,cervf001
MIA202008060,BAL,santa003,guzmj006,cervf001
MIA202008060,BAL,iglej001,guzmj006,cervf001
MIA202008060,BAL,aguij001,armss001,siscc001
MIA202008060,BAL,andeb006,armss001,siscc001
MIA202008060,BAL,brinl001,armss001,siscc001
MIA202008060,BAL,smitd007,guzmj006,cervf001
MIA202008060,BAL,nuner001,guzmj006,cervf001
MIA202008060,BAL,siscc001,guzmj006,cervf001
MIA202008060,BAL,haysa001,guzmj006,cervf001
MIA202008060,BAL,davic003,morim002,cervf001
MIA202008060,BAL,valap001,morim002,cervf001
MIA202008060,BAL,albeh001,morim002,cervf001
MIA202008060,BAL,forsl001,phile001,siscc001
MIA202008060,BAL,sierm002,phile001,siscc001
MIA202008060,BAL,harrm003,phile001,siscc001
MIA202008060,BAL,villj001,phile001,siscc001
MIA202008060,BAL,villj001,phile001,siscc001
MIA202008060,BAL,santa003,morim002,cervf001
MIA202008060,BAL,iglej001,morim002,cervf001
MIA202008060,BAL,smitd007,morim002,cervf001
MIA202008060,BAL,bertj001,phile001,siscc001
MIA202008060,BAL,cervf001,phile001,siscc001
MIA202008060,BAL,aguij001,givem001,siscc001
MIA202008060,BAL,andeb006,givem001,siscc001
MIA202008060,BAL,dickc002,givem001,siscc001
MIA202008060,BAL,forsl001,givem001,siscc001
MIA202008060,BAL,nuner001,boxbb001,cervf001
MIA202008060,BAL,siscc001,boxbb001,cervf001
MIA202008060,BAL,haysa001,boxbb001,cervf001
MIA202008060,BAL,sierm002,fry-p001,siscc001
MIA202008060,BAL,harrm003,fry-p001,siscc001
